"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","175","TC-AUTH-004 | Login with empty password returns error","API","2026-04-20","passed","2026-04-20","TC-AUTH | Authentication API","api/auth.spec.ts","",""
"Verify API responds within 3000ms performance threshold","175","TC-PROD-008 | Response time is under 3 seconds","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"Verify DELETE /products/1 returns the deleted product object","173","TC-PROD-011 | Delete a product returns deleted product","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"","280","TC-USER-002 | Get single user returns correct data","API","2026-04-20","passed","2026-04-20","TC-USER | Users API","api/users.spec.ts","",""
"","282","TC-CART-006 | Delete a cart returns deleted cart","API","2026-04-20","passed","2026-04-20","TC-CART | Carts API","api/carts.spec.ts","",""
"","276","TC-USER-007 | Get invalid user returns empty or error","API","2026-04-20","passed","2026-04-20","TC-USER | Users API","api/users.spec.ts","",""
"","282","TC-USER-004 | User name has firstname and lastname","API","2026-04-20","passed","2026-04-20","TC-USER | Users API","api/users.spec.ts","",""
"","334","TC-AUTH-002 | Login with invalid password returns error","API","2026-04-20","passed","2026-04-20","TC-AUTH | Authentication API","api/auth.spec.ts","",""
"","1569","TC-FIX-001 | Products load after login","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI with Fixtures","ui/products.fixture.spec.ts","",""
"Verify POST /products creates and returns a new product","178","TC-PROD-009 | Create a product returns new product with id","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"","296","TC-CART-001 | Get all carts returns 200 and array","API","2026-04-20","passed","2026-04-20","TC-CART | Carts API","api/carts.spec.ts","",""
"","609","TC-UI-007 | Empty password shows error","chromium","2026-04-20","passed","2026-04-20","TC-AUTH | Login UI","ui/login.spec.ts","",""
"","183","TC-CART-004 | Create a cart returns new cart with id","API","2026-04-20","passed","2026-04-20","TC-CART | Carts API","api/carts.spec.ts","",""
"","1086","TC-UI-005 | Invalid credentials shows error message","chromium","2026-04-20","passed","2026-04-20","TC-AUTH | Login UI","ui/login.spec.ts","",""
"","281","TC-USER-005 | User address has correct structure","API","2026-04-20","passed","2026-04-20","TC-USER | Users API","api/users.spec.ts","",""
"Verify filtering by electronics returns only electronics products","177","TC-PROD-005 | Get products by category returns correct items","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"","287","TC-CART-003 | Cart products have productId and quantity","API","2026-04-20","passed","2026-04-20","TC-CART | Carts API","api/carts.spec.ts","",""
"Verify POST /auth/login returns 200 and a valid token string","1196","TC-AUTH-001 | Login with valid credentials returns token","API","2026-04-20","passed","2026-04-20","TC-AUTH | Authentication API","api/auth.spec.ts","",""
"","1542","TC-UI-014 | Cart count starts at zero","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI","ui/products.spec.ts","",""
"","358","TC-AUTH-005 | Token is a valid string","API","2026-04-20","passed","2026-04-20","TC-AUTH | Authentication API","api/auth.spec.ts","",""
"Verify ?limit=5 returns exactly 5 products","176","TC-PROD-007 | Limit query returns correct number of products","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"","1640","TC-UI-016 | Adding multiple products updates cart count","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI","ui/products.spec.ts","",""
"","1785","TC-FIX-003 | Can filter by electronics category","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI with Fixtures","ui/products.fixture.spec.ts","",""
"","181","TC-UI-004 | Password field masks input","chromium","2026-04-20","passed","2026-04-20","TC-AUTH | Login UI","ui/login.spec.ts","",""
"","1568","TC-UI-009 | Products grid is visible after login","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI","ui/products.spec.ts","",""
"","1766","TC-UI-012 | Filter by electronics shows correct products","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI","ui/products.spec.ts","",""
"","175","TC-CART-005 | Update a cart returns updated data","API","2026-04-20","passed","2026-04-20","TC-CART | Carts API","api/carts.spec.ts","",""
"Verify price field is a positive number not a string","175","TC-PROD-004 | Price is a number not a string","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"","1612","TC-UI-011 | Category filter is visible","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI","ui/products.spec.ts","",""
"","180","TC-AUTH-003 | Login with empty username returns error","API","2026-04-20","passed","2026-04-20","TC-AUTH | Authentication API","api/auth.spec.ts","",""
"","183","TC-UI-003 | Login page has correct fields","chromium","2026-04-20","passed","2026-04-20","TC-AUTH | Login UI","ui/login.spec.ts","",""
"","280","TC-USER-006 | User email is a valid format","API","2026-04-20","passed","2026-04-20","TC-USER | Users API","api/users.spec.ts","",""
"","1565","TC-FIX-002 | Cart starts at zero","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI with Fixtures","ui/products.fixture.spec.ts","",""
"","1778","TC-UI-013 | Filter by jewelery shows correct products","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI","ui/products.spec.ts","",""
"Verify GET /products/1 returns product with correct id","190","TC-PROD-002 | Get single product returns correct data","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"","1561","TC-UI-010 | Products page shows multiple products","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI","ui/products.spec.ts","",""
"","1166","TC-UI-001 | Valid login redirects to products page","chromium","2026-04-20","passed","2026-04-20","TC-AUTH | Login UI","ui/login.spec.ts","",""
"","1616","TC-FIX-004 | Adding items updates cart correctly","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI with Fixtures","ui/products.fixture.spec.ts","",""
"","1110","TC-UI-002 | Welcome message shows correct username","chromium","2026-04-20","passed","2026-04-20","TC-AUTH | Login UI","ui/login.spec.ts","",""
"Verify PUT /products/1 updates and returns the product","177","TC-PROD-010 | Update a product returns updated data","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"","280","TC-USER-001 | Get all users returns 200 and array","API","2026-04-20","passed","2026-04-20","TC-USER | Users API","api/users.spec.ts","",""
"","1552","TC-UI-017 | Logout from products page works","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI","ui/products.spec.ts","",""
"","288","TC-CART-002 | Get single cart returns correct schema","API","2026-04-20","passed","2026-04-20","TC-CART | Carts API","api/carts.spec.ts","",""
"Verify GET /products returns 200 status and a non-empty array","182","TC-PROD-001 | Get all products returns 200 and array","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"","1583","TC-UI-015 | Adding product increases cart count","chromium","2026-04-20","passed","2026-04-20","TC-PROD | Products UI","ui/products.spec.ts","",""
"Verify product object contains all required schema fields","177","TC-PROD-003 | Product schema has all required fields","API","2026-04-20","passed","2026-04-20","TC-PROD | Products API","api/products.spec.ts","",""
"","281","TC-USER-003 | User schema has all required fields","API","2026-04-20","passed","2026-04-20","TC-USER | Users API","api/users.spec.ts","",""
"","1153","TC-UI-008 | Logout returns to login page","chromium","2026-04-20","passed","2026-04-20","TC-AUTH | Login UI","ui/login.spec.ts","",""
